appid,name,year,developer,platforms,num_ratings,positive_rate,multi_player,single_player,genre,theme,special
8870,BioShock Infinite,2013,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),windows;mac;linux,83288,0.95382288,0,1,['0'],"['6', '22']","['1', '4']"
8880,Freedom Force,2009,Irrational Games,windows,347,0.567723343,1,1,"['1', '4']",,
8890,Freedom Force vs. the Third Reich,2009,Irrational Games,windows,149,0.812080537,1,1,"['1', '4']",,
8930,Sid Meier's Civilization® V,2010,Firaxis Games;Aspyr (Mac);Aspyr (Linux),windows;mac;linux,134595,0.958653739,1,1,['1'],['18'],['4']
8970,Axel & Pixel,2010,Silver Wish Games,windows,49,0.714285714,0,1,['3'],['4'],
9000,Spear of Destiny,2007,id Software,windows,236,0.847457627,0,1,['0'],"['6', '16']",['4']
9010,Return to Castle Wolfenstein,2007,Gray Matter Studios,windows,3360,0.917857143,1,1,['0'],"['6', '16']",['4']
9030,QUAKE Mission Pack 2: Dissolution of Eternity,2007,Rogue Entertainment,windows,158,0.905063291,1,1,['0'],['6'],['4']
9040,QUAKE Mission Pack 1: Scourge of Armagon,2007,Ritual Entertainment,windows,218,0.940366972,1,1,['0'],['6'],['4']
9050,DOOM 3,2007,id Software,windows,3009,0.875041542,1,1,['0'],"['3', '6']",['4']
9060,HeXen II,2007,Raven Software,windows,212,0.816037736,1,1,['0'],"['6', '16']","['2', '4']"
9160,Master Levels for Doom II,2007,id Software,windows,379,0.817941953,0,1,['0'],"['6', '16']",['4']
9180,Commander Keen,2007,id Software,windows,788,0.935279188,0,1,['0'],['16'],['4']
9200,RAGE,2011,id Software,windows,12276,0.765232975,1,1,['0'],['6'],['2']
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",2007,Relic Entertainment,windows,682,0.88856305,1,1,['1'],['14'],
9340,Company of Heroes: Opposing Fronts,2007,Relic Entertainment,windows,631,0.917591125,1,1,"['0', '1']",['14'],['4']
9350,Supreme Commander,2011,Gas Powered Games,windows,1227,0.86797066,1,1,['1'],"['14', '21']",
9420,Supreme Commander: Forged Alliance,2011,Gas Powered Games,windows,5143,0.966167606,1,1,['1'],"['14', '21']",
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",2008,Relic Entertainment,windows,5173,0.944712933,1,1,['1'],['14'],['4']
9460,Frontlines™: Fuel of War™,2008,Kaos Studios,windows,607,0.622734761,1,1,['0'],['6'],"['2', '4']"
9480,Saints Row 2,2009,Volition,windows;linux,12323,0.766209527,0,1,['0'],['9'],['4']
9500,Gish,2007,Cryptic Sea,windows;mac,254,0.62992126,1,1,['3'],,
9710,Desperados 2: Cooper's Revenge,2008,Spellbound,windows,96,0.4375,0,1,['0'],,
9760,Act of War: High Treason,2008,Eugen Systems,windows,195,0.805128205,1,1,['0'],['14'],
9800,Death to Spies,2008,Haggard Games,windows,573,0.746945899,0,1,"['0', '2']",,['4']
9850,Codename: Panzers - Cold War,2009,InnoGlow;Stormregion;THQ Nordic,windows,138,0.594202899,1,1,"['1', '8']",['14'],['2']
9880,Champions Online,2011,Cryptic Studios,windows,2904,0.716597796,1,0,"['4', '11']",,['2']
